"Food Resource Type","Agency","Location","Operational Status","Who They Serve","Address","Latitude","Longitude","Phone Number","Website","Days/Hours","Date Updated"
"Food Bank","Algona/Pacific Food Pantry","Algona/Pacific Food Pantry - Food Distribution Center","Open","General Public","603 3rd Ave SE, Pacific, WA 98047","47.265011","-122.236771","(253)-351-0450","https://networks.whyhunger.org/organisation/41599","Tuesday","7/22/2025"
"Food Bank & Meal","Asian Counseling and Referral Service (ACRS)","ACRS Food Bank and Meals","Open","General Public","800 S Weller St, Seattle, WA 98004","47.5843633","-122.3303783","(206)-695-7510","https://acrs.org/services/aging-services-for-older-adults/acrs-food-bank/","Wednesday, Friday","8/7/2025"
"Meal","Asian Counseling and Referral Service (ACRS)","Club Bamboo and Hmong Senior Club","Open","Older Adults 60+ and Eligible Participants","3639 Martin Luther King Jr Way S, Seattle, WA 98144","47.570897","-122.2973881","(206)-695-7510","https://www.acrs.org/services/aging-services-for-older-adults/senior-lunch-programs/","Monday, Tuesday, Wednesday, Thursday, Friday","8/7/2025"
"Meal","Asian Counseling and Referral Service (ACRS)","Duoc Su Senior Nutrition Program","Open","Older Adults 60+ and Eligible Participants","6924 42nd Ave S , Seattle, WA 98118","47.5400001","-122.2803173","(206)-695-7510","https://www.acrs.org/services/aging-services-for-older-adults/senior-lunch-programs/","Saturday","7/21/2025"
"Meal","Asian Counseling and Referral Service (ACRS)","Friendly Island of Tonga Seniors","Open","Older Adults 60+ and Eligible Participants","4620 SW Graham St, Seattle, WA 98136","47.546979","-122.3922666","(206)-695-7510","https://www.acrs.org/services/aging-services-for-older-adults/senior-lunch-programs/",,"7/22/2025"
"Meal","Asian Counseling and Referral Service (ACRS)","Kent Memorial Park (Nepali and Samoan Meal Program)","Open","Older Adults 60+ and Eligible Participants","850 Central Ave N, Kent, WA 98032","47.3901637","-122.2304706","(253)-856-5000","https://www.kentwa.gov/Home/Components/FacilityDirectory/FacilityDirectory/250/318",,"7/22/2025"
"Meal","Asian Counseling and Referral Service (ACRS)","Korean Senior Club Miller Community Center","Open","Older Adults 60+ and Eligible Participants","330 19th Ave E, Seattle, WA, 98122","47.6219158","-122.3069784","(206)-695-7510","https://www.acrs.org/services/aging-services-for-older-adults/senior-lunch-programs/","Tuesday, Friday","8/7/2025"
"Meal","Asian Counseling and Referral Service (ACRS)","Fillipino American Community of Puget Sound","Open","Older Adults 60+ and Eligible Participants","103 6th Ave N, Algona, WA 98001",,,"(206)-695-7510","https://www.acrs.org/services/aging-services-for-older-adults/senior-lunch-programs/","Thursday","7/21/2025"
"Meal","Asian Counseling and Referral Service (ACRS)","Nepali Wellness","Open","Older Adults 60+ and Eligible Participants","25720 104th Ave SE, Kent, WA 98030",,,"(206)-695-7510","https://www.acrs.org/services/aging-services-for-older-adults/senior-lunch-programs/","Tuesday","7/21/2025"
"Meal","Asian Counseling and Referral Service (ACRS)","Filipino Community of Seattle","Open","Older Adults 60+ and Eligible Participants","5740 Martin Luther King Jr Way S, Seattle, WA 98118","47.5500465","-122.2871358","(206)-695-7510","https://www.acrs.org/services/aging-services-for-older-adults/senior-lunch-programs/","Monday, Tuesday, Thursday, Friday","7/21/2025"
"Meal","Asian Counseling and Referral Service (ACRS)","Seattle Korean Elders Association Center Park","Open","Older Adults 60+ and Eligible Participants","2121 26th Ave S, Seattle, WA 98144","47.5842083","-122.2996639","(206)-695-7510","https://www.acrs.org/services/aging-services-for-older-adults/senior-lunch-programs/","Tuesday, Friday","7/21/2025"
"Meal","Asian Counseling and Referral Service (ACRS)","Vietnamese Senior Association Garfield Community Center","Open","Older Adults 60+ and Eligible Participants","2323 E Cherry St, Seattle, WA 98112","47.6076951","-122.3021127","(206)-695-7510","https://www.acrs.org/services/aging-services-for-older-adults/senior-lunch-programs/","Tuesday, Friday","7/21/2025"
"Meal","Asian Counseling and Referral Service (ACRS)","Pyung An Seniors Academy","Open","Older Adults 60+ and Eligible Participants","526 12th St SE, Auburn, WA 98002",,,"(206)-695-7510","https://www.acrs.org/services/aging-services-for-older-adults/senior-lunch-programs/","Monday, Tuesday, Thursday","7/21/2025"
"Meal","Atrium Kitchen","Atrium Kitchen","Open","Older Adults 60+ and Eligible Participants","93 Pike St, Suite 101, Seattle, WA 98101","47.608632","-122.3401409","(206)-829-9525","https://www.atriumkitchenpikeplace.com/","Thursday","8/12/2025"
"Food Bank","Auburn Food Bank","Auburn Food Bank","Open","General Public","2804 Auburn Way N, Auburn, WA 98002","47.332001","-122.2211517","(253)-833-8925","https://www.theauburnfoodbank.org/food","Monday, Tuesday, Thursday, Friday","8/7/2025"
"Meal","Aurora Commons","Aurora Commons","Open","General Public","8914 Aurora Ave N, Seattle, WA 98103","47.6938816","-122.3442384","(206)-299-2278","https://www.auroracommons.org/","Monday, Tuesday, Wednesday, Thursday","8/12/2025"
"Food Bank","Ballard Food Bank","Ballard Food Bank","Open","General Public","1400 Leary Way NW, Seattle, WA 98107","47.66404713","-122.3740701","(206)-789-7800","https://www.ballardfoodbank.org/","Monday, Tuesday, Wednesday, Thursday","8/12/2025"
"Food Bank & Meal","Bethany Community Church","Bethany Food Bank at Green Lake","Open","General Public","8023 Green Lake Dr N, Seattle, WA 98103","47.6873209","-122.3411453","(206)-524-9000","https://www.churchbcc.org/missions/localmissions","Monday","7/22/2025"
