route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,peak_flag,fare_id,wheelchair_accessible,bikes_allowed
100001,48112,562518409,Kinnear Seattle Center W,,0,7932904,11001004,0,101,1,1
100001,48112,562518429,Downtown Seattle,,1,7932904,20001002,0,101,1,1
100001,48112,562518439,Kinnear Seattle Center W,,0,7932895,11001004,0,101,1,1
100001,48112,562518469,Kinnear Seattle Center W,,0,7932906,11001003,0,101,1,1
100001,48112,562518499,Kinnear Seattle Center W,,0,7932909,11001004,0,101,1,1
100001,48112,562518509,Kinnear Seattle Center W,,0,7932907,11001003,0,101,1,1
100001,48112,562518519,Downtown Seattle,,1,7932895,20001002,0,101,1,1
100001,48112,562518539,Kinnear Seattle Center W,,0,7932908,11001003,0,101,1,1
100001,48112,562518559,Downtown Seattle,,1,7932906,20001002,0,101,1,1
100001,48112,562518579,Kinnear Seattle Center W,,0,7932910,11001003,0,101,1,1
100001,48112,562518609,Downtown Seattle,,1,7932909,20001002,0,101,1,1
100001,48112,562518619,Downtown Seattle,,1,7932907,20001002,0,101,1,1
100001,48112,562518639,Kinnear Seattle Center W,,0,7932896,11001003,0,101,1,1
100001,48112,562518659,Kinnear Seattle Center W,,0,7932904,11001003,0,101,1,1
100001,48112,562518669,Kinnear Seattle Center W,,0,7932911,11001003,0,101,1,1
100001,48112,562518679,Downtown Seattle,,1,7932908,20001002,0,101,1,1
100001,48112,562518709,Downtown Seattle,,1,7932910,20001002,0,101,1,1
100001,48112,562518739,Downtown Seattle,,1,7932896,20001002,0,101,1,1
100001,48112,562518759,Downtown Seattle,,1,7932904,20001002,0,101,1,1
100001,48112,562518779,Kinnear Seattle Center W,,0,7932906,11001003,0,101,1,1
100001,48112,562518799,Kinnear Seattle Center W,,0,7932895,11001003,0,101,1,1
100001,48112,562518819,Kinnear Seattle Center W,,0,7932909,11001003,0,101,1,1
100001,48112,562518829,Downtown Seattle,,1,7932911,20001002,0,101,1,1
100001,48112,562518849,Downtown Seattle,,1,7932895,20001002,0,101,1,1
100001,48112,562518879,Kinnear Seattle Center W,,0,7932907,11001003,0,101,1,1
100001,48112,562518889,Kinnear Seattle Center W,,0,7932912,11001003,0,101,1,1
100001,48112,562518899,Downtown Seattle,,1,7932906,20001002,0,101,1,1
100001,48112,562518939,Kinnear Seattle Center W,,0,7932908,11001003,0,101,1,1
100001,48112,562518949,Downtown Seattle,,1,7932909,20001002,0,101,1,1
100001,48112,562518959,Kinnear Seattle Center W,,0,7932910,11001003,0,101,1,1
100001,48112,562519009,Kinnear Seattle Center W,,0,7932896,11001003,0,101,1,1
100001,48112,562519019,Downtown Seattle,,1,7932907,20001002,0,101,1,1
100001,48112,562519029,Downtown Seattle,,1,7932912,20001002,0,101,1,1
100001,48112,562519059,Kinnear Seattle Center W,,0,7932904,11001003,0,101,1,1
100001,48112,562519069,Downtown Seattle,,1,7932908,20001002,0,101,1,1
100001,48112,562519089,Downtown Seattle,,1,7932910,20001002,0,101,1,1
100001,48112,562519119,Kinnear Seattle Center W,,0,7932905,11001003,0,101,1,1
100001,48112,562519129,Downtown Seattle,,1,7932904,20001002,0,101,1,1
100001,48112,562519159,Downtown Seattle,,1,7932896,20001002,0,101,1,1
100001,48112,562519179,Kinnear Seattle Center W,,0,7932895,11001003,0,101,1,1
100001,48112,562519209,Kinnear Seattle Center W,,0,7932906,11001003,0,101,1,1
100001,48112,562519239,Downtown Seattle,,1,7932905,20001002,0,101,1,1
100001,48112,562519249,Kinnear Seattle Center W,,0,7932909,11001003,0,101,1,1
100001,48112,562519259,Downtown Seattle,,1,7932906,20001002,0,101,1,1
100001,48112,562519279,Kinnear Seattle Center W,,0,7932912,11001003,0,101,1,1
100001,48112,562519289,Downtown Seattle,,1,7932895,20001002,0,101,1,1
100001,48112,562519299,Kinnear Seattle Center W,,0,7932907,11001003,0,101,1,1
100001,48112,562519339,Downtown Seattle,,1,7932908,20001002,0,101,1,1
100001,48112,562519379,Downtown Seattle,,1,7932909,20001002,0,101,1,1
100001,48112,562519389,Kinnear Seattle Center W,,0,7932896,11001003,0,101,1,1
100001,48112,562519409,Kinnear Seattle Center W,,0,7932908,11001003,0,101,1,1
100001,48112,562519429,Downtown Seattle,,1,7932912,20001002,0,101,1,1
100001,48112,562519439,Kinnear Seattle Center W,,0,7932904,11001003,0,101,1,1
100001,48112,562519469,Downtown Seattle,,1,7932907,20001002,0,101,1,1
100001,48112,562519479,Kinnear Seattle Center W,,0,7932910,11001003,0,101,1,1
100001,48112,562519519,Downtown Seattle,,1,7932896,20001002,0,101,1,1
100001,48112,562519529,Downtown Seattle,,1,7932910,20001002,0,101,1,1
100001,48112,562519549,Kinnear Seattle Center W,,0,7932905,11001003,0,101,1,1
100001,48112,562519559,Kinnear Seattle Center W,,0,7932906,11001003,0,101,1,1
100001,48112,562519579,Kinnear Seattle Center W,,0,7932895,11001003,0,101,1,1
100001,48112,562519599,Downtown Seattle,,1,7932904,20001002,0,101,1,1
100001,48112,562519629,Kinnear Seattle Center W,,0,7932907,11001003,0,101,1,1
100001,48112,562519649,Downtown Seattle,,1,7932906,20001002,0,101,1,1
100001,48112,562519659,Kinnear Seattle Center W,,0,7932912,11001003,0,101,1,1
100001,48112,562519669,Kinnear Seattle Center W,,0,7932908,11001003,0,101,1,1
100001,48112,562519679,Kinnear Seattle Center W,,0,7932909,11001003,0,101,1,1
100001,48112,562519689,Downtown Seattle,,1,7932895,20001002,0,101,1,1
100001,48112,562519709,Downtown Seattle,,1,7932905,20001002,0,101,1,1
