shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon,shape_dist_traveled
1-SHUTTLE-A-NB,13153,47.46401,-122.28795,0.0
1-SHUTTLE-A-NB,13154,47.4642,-122.28846,43.77
1-SHUTTLE-A-NB,13155,47.46427,-122.28866,60.7
1-SHUTTLE-A-NB,13156,47.46428,-122.2887,63.91
1-SHUTTLE-A-NB,13157,47.46431,-122.28873,67.94
1-SHUTTLE-A-NB,13158,47.46433,-122.28875,70.62
1-SHUTTLE-A-NB,13159,47.46436,-122.28877,74.28
1-SHUTTLE-A-NB,13160,47.46439,-122.28877,77.62
1-SHUTTLE-A-NB,13161,47.46442,-122.28876,81.04
1-SHUTTLE-A-NB,13162,47.46444,-122.28875,83.38
1-SHUTTLE-A-NB,13163,47.46454,-122.28867,96.02
1-SHUTTLE-A-NB,13164,47.46457,-122.28865,99.68
1-SHUTTLE-A-NB,13165,47.4646,-122.28861,104.17
1-SHUTTLE-A-NB,13166,47.46461,-122.28856,108.09
1-SHUTTLE-A-NB,13167,47.46462,-122.28852,111.3
1-SHUTTLE-A-NB,13168,47.46463,-122.2883,127.88
1-SHUTTLE-A-NB,13169,47.46463,-122.28805,146.67
1-SHUTTLE-A-NB,13170,47.46463,-122.28791,157.19
1-SHUTTLE-A-NB,13171,47.46463,-122.28776,168.47
1-SHUTTLE-A-NB,13172,47.46463,-122.2875,188.01
1-SHUTTLE-A-NB,13173,47.46463,-122.28725,206.81
1-SHUTTLE-A-NB,13174,47.46463,-122.28713,215.83
1-SHUTTLE-A-NB,13175,47.46463,-122.28691,232.37
1-SHUTTLE-A-NB,13176,47.46499,-122.28691,272.4
1-SHUTTLE-A-NB,13177,47.46515,-122.28689,290.25
1-SHUTTLE-A-NB,13178,47.46515,-122.28708,304.53
1-SHUTTLE-A-NB,13179,47.46516,-122.28791,366.94
1-SHUTTLE-A-NB,13180,47.46516,-122.28797,371.45
1-SHUTTLE-A-NB,13181,47.46516,-122.2887,426.32
1-SHUTTLE-A-NB,13182,47.46516,-122.28896,445.87
1-SHUTTLE-A-NB,13183,47.46502,-122.28903,462.3
1-SHUTTLE-A-NB,13184,47.46456,-122.28928,516.79
1-SHUTTLE-A-NB,13185,47.46433,-122.2894,543.91
