Food Resource Type,Agency,Location,Operational Status,Who They Serve,Address,Latitude,Longitude,Phone Number,Website,Days/Hours,Date Updated,bank_id
food bank,Algona/Pacific Food Pantry,Algona/Pacific Food Pantry - Food Distribution Center,open,General Public,"603 3Rd Ave Se, Pacific, Wa 98047",47.265011,-122.236771,(253)-351-0450,https://networks.whyhunger.org/organisation/41599,Tuesday,7/22/2025,foodbank0
food bank & meal,Asian Counseling and Referral Service (ACRS),ACRS Food Bank and Meals,open,General Public,"800 S Weller St, Seattle, Wa 98004",47.5843633,-122.3303783,(206)-695-7510,https://acrs.org/services/aging-services-for-older-adults/acrs-food-bank/,"Wednesday, Friday",8/7/2025,foodbank1
meal,Asian Counseling and Referral Service (ACRS),Club Bamboo and Hmong Senior Club,open,Older Adults 60+ and Eligible Participants,"3639 Martin Luther King Jr Way S, Seattle, Wa 98144",47.570897,-122.2973881,(206)-695-7510,https://www.acrs.org/services/aging-services-for-older-adults/senior-lunch-programs/,"Monday, Tuesday, Wednesday, Thursday, Friday",8/7/2025,foodbank2
meal,Asian Counseling and Referral Service (ACRS),Duoc Su Senior Nutrition Program,open,Older Adults 60+ and Eligible Participants,"6924 42Nd Ave S , Seattle, Wa 98118",47.5400001,-122.2803173,(206)-695-7510,https://www.acrs.org/services/aging-services-for-older-adults/senior-lunch-programs/,Saturday,7/21/2025,foodbank3
meal,Asian Counseling and Referral Service (ACRS),Friendly Island of Tonga Seniors,open,Older Adults 60+ and Eligible Participants,"4620 Sw Graham St, Seattle, Wa 98136",47.546979,-122.3922666,(206)-695-7510,https://www.acrs.org/services/aging-services-for-older-adults/senior-lunch-programs/,Unknown,7/22/2025,foodbank4
meal,Asian Counseling and Referral Service (ACRS),Kent Memorial Park (Nepali and Samoan Meal Program),open,Older Adults 60+ and Eligible Participants,"850 Central Ave N, Kent, Wa 98032",47.3901637,-122.2304706,(253)-856-5000,https://www.kentwa.gov/Home/Components/FacilityDirectory/FacilityDirectory/250/318,Unknown,7/22/2025,foodbank5
meal,Asian Counseling and Referral Service (ACRS),Korean Senior Club Miller Community Center,open,Older Adults 60+ and Eligible Participants,"330 19Th Ave E, Seattle, Wa, 98122",47.6219158,-122.3069784,(206)-695-7510,https://www.acrs.org/services/aging-services-for-older-adults/senior-lunch-programs/,"Tuesday, Friday",8/7/2025,foodbank6
meal,Asian Counseling and Referral Service (ACRS),Fillipino American Community of Puget Sound,open,Older Adults 60+ and Eligible Participants,"103 6Th Ave N, Algona, Wa 98001",47.2859364,-122.2572262,(206)-695-7510,https://www.acrs.org/services/aging-services-for-older-adults/senior-lunch-programs/,Thursday,7/21/2025,foodbank7
meal,Asian Counseling and Referral Service (ACRS),Nepali Wellness,open,Older Adults 60+ and Eligible Participants,"25720 104Th Ave Se, Kent, Wa 98030",47.3711201,-122.2006484,(206)-695-7510,https://www.acrs.org/services/aging-services-for-older-adults/senior-lunch-programs/,Tuesday,7/21/2025,foodbank8
meal,Asian Counseling and Referral Service (ACRS),Filipino Community of Seattle,open,Older Adults 60+ and Eligible Participants,"5740 Martin Luther King Jr Way S, Seattle, Wa 98118",47.5500465,-122.2871358,(206)-695-7510,https://www.acrs.org/services/aging-services-for-older-adults/senior-lunch-programs/,"Monday, Tuesday, Thursday, Friday",7/21/2025,foodbank9
meal,Asian Counseling and Referral Service (ACRS),Seattle Korean Elders Association Center Park,open,Older Adults 60+ and Eligible Participants,"2121 26Th Ave S, Seattle, Wa 98144",47.5842083,-122.2996639,(206)-695-7510,https://www.acrs.org/services/aging-services-for-older-adults/senior-lunch-programs/,"Tuesday, Friday",7/21/2025,foodbank10
meal,Asian Counseling and Referral Service (ACRS),Vietnamese Senior Association Garfield Community Center,open,Older Adults 60+ and Eligible Participants,"2323 E Cherry St, Seattle, Wa 98112",47.6076951,-122.3021127,(206)-695-7510,https://www.acrs.org/services/aging-services-for-older-adults/senior-lunch-programs/,"Tuesday, Friday",7/21/2025,foodbank11
meal,Asian Counseling and Referral Service (ACRS),Pyung An Seniors Academy,open,Older Adults 60+ and Eligible Participants,"526 12Th St Se, Auburn, Wa 98002",47.2968017,-122.2217635,(206)-695-7510,https://www.acrs.org/services/aging-services-for-older-adults/senior-lunch-programs/,"Monday, Tuesday, Thursday",7/21/2025,foodbank12
meal,Atrium Kitchen,Atrium Kitchen,open,Older Adults 60+ and Eligible Participants,"93 Pike St, Suite 101, Seattle, Wa 98101",47.608632,-122.3401409,(206)-829-9525,https://www.atriumkitchenpikeplace.com/,Thursday,8/12/2025,foodbank13
food bank,Auburn Food Bank,Auburn Food Bank,open,General Public,"2804 Auburn Way N, Auburn, Wa 98002",47.332001,-122.2211517,(253)-833-8925,https://www.theauburnfoodbank.org/food,"Monday, Tuesday, Thursday, Friday",8/7/2025,foodbank14
meal,Aurora Commons,Aurora Commons,open,General Public,"8914 Aurora Ave N, Seattle, Wa 98103",47.6938816,-122.3442384,(206)-299-2278,https://www.auroracommons.org/,"Monday, Tuesday, Wednesday, Thursday",8/12/2025,foodbank15
food bank,Ballard Food Bank,Ballard Food Bank,open,General Public,"1400 Leary Way Nw, Seattle, Wa 98107",47.66404713,-122.3740701,(206)-789-7800,https://www.ballardfoodbank.org/,"Monday, Tuesday, Wednesday, Thursday",8/12/2025,foodbank16
